plant_name_id|continent_code_l1|continent|region_code_l2|region|area_code_l3|area|introduced|extinct|location_doubtful
329128-az|2|AFRICA|26|South Tropical Africa|MOZ|Mozambique|0|0|0
329128-az|2|AFRICA|26|South Tropical Africa|ZAM|Zambia|0|0|0
329128-az|2|AFRICA|26|South Tropical Africa|ZIM|Zimbabwe|0|0|0
329129-az|7|NORTHERN AMERICA|79|Mexico|MXC|Mexico Central|0|0|0
329129-az|7|NORTHERN AMERICA|79|Mexico|MXS|Mexico Southwest|0|0|0
329132-az|8|SOUTHERN AMERICA|83|Western South America|CLM|Colombia|0|0|0
329134-az|8|SOUTHERN AMERICA|80|Central America|GUA|Guatemala|0|0|0
329136-az|4|ASIA-TROPICAL|40|Indian Subcontinent|NEP|Nepal|0|0|0
329137-az|2|AFRICA|26|South Tropical Africa|ANG|Angola|0|0|0
329137-az|2|AFRICA|26|South Tropical Africa|MOZ|Mozambique|0|0|0
329137-az|2|AFRICA|26|South Tropical Africa|ZAM|Zambia|0|0|0
329137-az|2|AFRICA|26|South Tropical Africa|ZIM|Zimbabwe|0|0|0
329137-az|2|AFRICA|27|Southern Africa|BOT|Botswana|0|0|0
329137-az|2|AFRICA|27|Southern Africa|CPP|Cape Provinces|0|0|0
329137-az|2|AFRICA|27|Southern Africa|CPV|Caprivi Strip|0|0|0
329137-az|2|AFRICA|27|Southern Africa|NAM|Namibia|0|0|0
329137-az|2|AFRICA|27|Southern Africa|NAT|KwaZulu-Natal|0|0|0
329137-az|2|AFRICA|27|Southern Africa|OFS|Free State|0|0|0
329137-az|2|AFRICA|27|Southern Africa|SWZ|Swaziland|0|0|0
329137-az|2|AFRICA|27|Southern Africa|TVL|Northern Provinces|0|0|0
329179-az|8|SOUTHERN AMERICA|84|Brazil|BZL|Brazil Southeast|0|0|0
329181-az|4|ASIA-TROPICAL|41|Indo-China|MYA|Myanmar|0|0|0
329183-az|7|NORTHERN AMERICA|79|Mexico|MXG|Mexico Gulf|0|0|0
329183-az|7|NORTHERN AMERICA|79|Mexico|MXT|Mexico Southeast|0|0|0
329184-az|8|SOUTHERN AMERICA|80|Central America|NIC|Nicaragua|0|0|0
329186-az|2|AFRICA|22|West Tropical Africa|NGA|Nigeria|0|0|0
329189-az|2|AFRICA|22|West Tropical Africa|MLI|Mali|0|0|0
329189-az|2|AFRICA|22|West Tropical Africa|SEN|Senegal|0|0|0
329195-az|8|SOUTHERN AMERICA|84|Brazil|BZC|Brazil West-Central|0|0|0
329195-az|8|SOUTHERN AMERICA|84|Brazil|BZE|Brazil Northeast|0|0|0
329195-az|8|SOUTHERN AMERICA|84|Brazil|BZL|Brazil Southeast|0|0|0
329197-az|2|AFRICA|29|Western Indian Ocean|MDG|Madagascar|0|0|0
329199-az|8|SOUTHERN AMERICA|83|Western South America|BOL|Bolivia|0|0|0
329199-az|8|SOUTHERN AMERICA|85|Southern South America|AGW|Argentina Northwest|0|0|0
329205-az|2|AFRICA|27|Southern Africa|CPP|Cape Provinces|0|0|0
