plant_name_id|ipni_id|taxon_rank|taxon_status|family|genus_hybrid|genus|species_hybrid|species|infraspecific_rank|infraspecies|parenthetical_author|primary_author|publication_author|place_of_publication|volume_and_page|first_published|nomenclatural_remarks|geographic_area|lifeform_description|climate_description|taxon_name|taxon_authors|accepted_plant_name_id|basionym_plant_name_id|homotypic_synonym
622424-az|45002-1|Species|Synonym|Acanthaceae||Adhatoda||chinensis||||Benth.||Hooker's J. Bot. Kew Gard. Misc.|5: 134|(1853)|||||Adhatoda chinensis|Benth.|330791-az||
622425-az|45003-1|Species|Synonym|Acanthaceae||Adhatoda||chrysotrichoma|||Nees|Nees|A.P.de Candolle|Prodr.|11: 408|(1847)|||||Adhatoda chrysotrichoma|(Nees) Nees|330838-az|436845-az|T
622426-az|45004-1|Species|Illegitimate|Acanthaceae||Adhatoda||ciliata|||Nees|Nees|A.P.de Candolle|Prodr.|11: 396|(1847)|, nom. illeg.||||Adhatoda ciliata|(Nees) Nees|329952-az|436818-az|
622427-az|45005-1|Species|Synonym|Acanthaceae||Adhatoda||claessensii|||De Wild.|Heine||Fl. Gabon|13: 175|(1966)|||||Adhatoda claessensii|(De Wild.) Heine|330847-az|330847-az|T
622428-az|45006-1|Species|Synonym|Acanthaceae||Adhatoda||congrua||||Nees|C.F.P.von Martius & auct. suc. (eds.)|Fl. Bras.|9: 147|(1847)|||||Adhatoda congrua|Nees|333050-az||
622429-az|45007-1|Species|Synonym|Acanthaceae||Adhatoda||cuneata|||Vahl|Nees|A.P.de Candolle|Prodr.|11: 392|(1847)|||||Adhatoda cuneata|(Vahl) Nees|330932-az|330932-az|T
622430-az|45008-1|Species|Synonym|Acanthaceae||Adhatoda||cuneifolia|||Nees & Mart.|Nees|A.P.de Candolle|Prodr.|11: 405|(1847)|||||Adhatoda cuneifolia|(Nees & Mart.) Nees|330937-az|330937-az|T
622431-az|45009-1|Species|Synonym|Acanthaceae||Adhatoda||cydoniifolia||||Nees|C.F.P.von Martius & auct. suc. (eds.)|Fl. Bras.|9: 148|(1847)|||||Adhatoda cydoniifolia|Nees|330985-az||T
622432-az|45010-1|Species|Synonym|Acanthaceae||Adhatoda||cymosa||||Griff.||Itin. Pl. Khasyah Mts.|: 96|(1848)|||||Adhatoda cymosa|Griff.|900035-az||T
622433-az|45011-1|Species|Synonym|Acanthaceae||Adhatoda||decussata|||Roxb.|Nees|A.P.de Candolle|Prodr.|11: 408|(1847)|||||Adhatoda decussata|(Roxb.) Nees|331270-az|331270-az|T
622434-az|914793-1|Species|Synonym|Acanthaceae||Adhatoda||densiflora|||Hochst.|J.C.Manning||S. African J. Bot.|51: 490|(1985)|||||Adhatoda densiflora|(Hochst.) J.C.Manning|329535-az|818752-az|T
622435-az|45012-1|Species|Synonym|Acanthaceae||Adhatoda||diffusa||||Benth.|W.J.Hooker|Niger Fl.|: 483|(1849)|||||Adhatoda diffusa|Benth.|329383-az||
622436-az|45013-1|Species|Synonym|Acanthaceae||Adhatoda||diosmophylla||||Nees|A.P.de Candolle|Prodr.|11: 394|(1847)|||||Adhatoda diosmophylla|Nees|329205-az||
622437-az|4824-2|Species|Synonym|Acanthaceae||Adhatoda||dipteracantha||||Nees|A.P.de Candolle|Prodr.|11: 396|(1847)|||||Adhatoda dipteracantha|Nees|329274-az||
